species,X80.56.8,X123.35.3,X562.74.3,X98.55.5,X87.44.5,X483.76.1,X79.92.5,X127.91.3,X138.86.3
Cycas_revoluta,0,0,0,0,0,0,0,0,0
Sundacarpus_amarus,0,0,0,0,1,1.3,0,0,0
Prumnopitys_ladei,15.1,0,0,0.2,12.9,0.4,0.1,0.2,2.3
Phyllocladus_trichomanoides,0,0,0,0,0,0,0,0,0
Phyllocladus_aspleniifolius,44.5,2.3,0,0,2.9,0.3,0.3,1.1,1.2
Falcatifolium_taxoides,0.2,0,0.3,1.1,0.3,0.6,0,0,0
Dacrydium_lycopodioides,0.5,0,0,0,0,1.5,0,0,0
Dacrydium_guillauminii,16,0.8,0.2,0.7,0,0,0,0.7,0
Dacrydium_araucarioides,1,0.2,0.4,0.9,32.5,0.1,0,0.1,0
Dacrydium_balansae,0,0,0,0,37.5,4.2,0,0,0.8
Dacrydium_elatum,28.41,1.37,0.05,0.23,29.03,0,0,1.77,0
Retrophyllum_rospigliosii,18.2,6.1,0.3,0.2,6.4,0.7,0.1,2.7,43.1
Nageia_wallichiana,53.55,0,0,0.14,3.38,1.57,0.19,2.63,0.95
Nageia_motleyi,0,0,0,0,0.98,0,0,0,0
Afrocarpus_mannii,5.3,8.6,0.3,0.3,13.1,2.7,0,1.2,31.3
Podocarpus_spinulosus,4.4,1.1,0,0.2,6.1,0.2,0,0.3,13.4
Podocarpus_drouynianus,9,0.6,0,0.2,0.9,0,0.1,0.1,1.8
Podocarpus_elatus,14.4,0.4,0,0,9.8,1.7,0.5,0.1,1.5
Podocarpus_grayae,0.6,0,0,0,2.1,0.9,0,0,0.3
Podocarpus_pilgeri,17,1.11,0,0.22,12.16,0,0,0.7,0.48
Podocarpus_neriifolius,0,0,0,0,6.25,0,0,0,0
Podocarpus_macrophyllus,1.35,0,0,0,41.81,2.18,0,3.17,3.42
Podocarpus_brevifolius,0.5,0.7,0.5,0.6,5.8,5.4,0,0,0
Podocarpus_dispermus,1.2,0,0,0,1.8,3,0,0,0
Podocarpus_smithii,0.1,0,0,0,5,9.5,0,0,0
Podocarpus_parlatorei,0,0,29,2,0,4.5,0,0,2.8
Podocarpus_lambertii,1.63,0.56,0,0,11.34,0.53,0,0,0
Podocarpus_elongatus,0,0,0,0,9.88,7.33,0,0,1.76
Podocarpus_lawrencei,24.9,1,0,0,9.2,1.4,0.1,0.2,0
Podocarpus_totara,9.3,0.9,0,1.1,2,0,0,0,1.6
Acmopyle_pancheri,0,0,0.5,0.9,0.8,1.4,0,0,1.6
Microstrobos_niphophilus,26.9,20.8,0,0.4,0,0.6,0.9,0.9,30.5
Pherosphaera_fitzgeraldii,22.7,24.1,0,0.2,0,0,0.3,0.5,3.2
Microcachrys_tetragona,44.6,4.1,1,0,0.1,1.9,3.2,0.1,10.2
Agathis_microstachya,17.9,6.8,1.4,0,0.6,6.2,0.3,0.4,3.8
Agathis_atropurpurea,7.9,0.4,0,0,0.1,9,0.1,0.2,1.5
Agathis_philippinensis,10.4,0,1.7,6.2,0,0,0,1.5,72.4
Agathis_robusta,3.7,0,0,0,1.4,1.6,0,1.2,0.1
Agathis_dammara,0,0,0,0,8.58,16.12,0,0,0
Agathis_moorei,0,0,0,0,0.6,10.2,0,0,0
Agathis_ovata,0,0,0,0,3.4,0.6,0,0,0.3
Agathis_borneensis,8.5,0,8.54,8.48,0,0,0,8.68,5.73
Agathis_macrophylla,0.4,0.1,0,0,0.3,0.6,0,0,0.4
Agathis_australis,1.5,0,0,0,0.7,3.7,0.4,0,0.1
Wollemia_nobilis,8.8,0.3,0,0,0.2,0.9,0.1,0.1,0.7
Araucaria_angustifolia,0.9,0.3,0,0,0.2,1,0,0.5,0.1
Araucaria_hunsteinii,18.2,0.2,0,0,1.9,1.1,0.1,2.5,0.8
Araucaria_bidwillii,0.5,0,0,0,0.1,0.1,0,0,0.1
Araucaria_columnaris,0,0,0,0,0.3,0.8,0,0,0
Araucaria_luxurians,0.1,0,0,0,1.1,1.1,0,0.4,0
Araucaria_montana,3.2,0.1,0,0.2,3.1,0,0,0.5,0.1
Araucaria_scopulorum,0,0.1,0,0,2.5,6,0,1.9,0
Araucaria_muelleri,0,0.7,0,0,0.9,0.2,0,0,0.1
Araucaria_cunninghamii,1.8,0.1,0,0,5.5,0.1,0,1.4,0.3
