,BM,OU,EB,JN,NIG,VG,BMJN,BMNIG,BMVG
1002-84-2,0,0,0,0.998699963,0.001300037,1.07E-87,1.25E-42,0,0
10032-13-0,0,0,0,1,0,3.70E-189,3.85E-87,0,3.72E-203
100-49-2,0,0,0,2.74E-17,0,8.48E-174,1,0,1.24E-279
100-51-6,0,0,0,2.45E-87,1.62E-12,4.49E-100,1,0,0
100-52-7,0,0,0,2.61E-71,0,6.23E-139,1,0,9.82E-96
10147-41-8,0,0,0,1,0,4.75E-56,0,0,0
101-86-0,1.63E-49,2.96E-93,4.81E-48,3.03E-243,9.01E-263,1,0,0,0
10192-32-2,0,0,0,0.999999999,0,3.25E-48,5.34E-50,0,1.33E-09
10198-23-9,0,0,0,2.48E-08,1.52E-95,1.38E-216,0.999999975,2.81E-267,0
10208-80-7,9.02E-198,3.43E-198,3.32E-198,3.92E-05,9.59E-135,0.999960809,9.16E-160,3.53E-135,5.79E-37
10219-71-3,0,0,0,2.36E-29,7.10E-229,0,0,0,1
103-36-6,0,0,0,0.068871978,0,1.59E-76,0.931128022,0,2.66E-210
1033849-22-7,0,0,0,6.62E-40,0,1.52E-109,1,0,0
103-45-7,1.05E-212,6.64E-222,0,7.75E-298,1.26E-161,1,6.68E-220,0,0
104-21-2,0,0,0,1,2.96439387504748e-323,1.81E-129,2.42E-33,0,0
104245-48-9,0,0,0,5.32E-96,0,1,6.54E-266,0,5.33E-112
104-46-1,0,0,0,1.07E-37,0.999998088,3.20E-200,1.91E-06,8.73E-120,3.06E-130
104-61-0,0,0,0,1,0,5.20E-40,4.39E-31,0,0
104-76-7,1,5.02E-15,4.01E-36,1.02E-56,0,7.33E-75,0,0,1.10E-147
10486-19-8,0,0,0,0.988580487,6.98E-100,3.82E-45,0.011419513,3.00E-215,2.83E-56
105661-29-8,0,0,0,1,0,1.12E-216,2.62E-129,0,8.18E-104
105-87-3,0,0,0,0,0,1,0,0,0
106-22-9,0,0,0,1,0,4.68E-44,1.66E-19,6.39E-184,1.04E-105
106-23-0,0,0,0,5.07E-23,0,6.58E-104,1,1.81E-222,1.03E-236
106-24-1,0,0,0,1,9.81E-168,4.20E-41,4.69E-72,4.08E-232,4.01E-77
106-25-2,0,0,0,1,2.49E-200,5.78E-75,1.02E-27,5.21E-246,1.56E-297
106-26-3,0,0,0,1,0,2.63E-13,3.22E-19,0,2.38E-180
106-28-5,0,0,0,4.72E-110,0,4.70E-122,1,0,1.28E-164
106-29-6,0,0,0,0,2.72E-130,3.22E-148,0,0,1
106-33-2,0,0,0,1,0,3.19E-103,0,0,1.12E-112
106-44-5,0,0,0,7.74E-100,0,2.30E-258,1,0,0
106-68-3,0,0,0,1,0,5.21E-80,1.50E-19,3.12E-131,4.34E-284
107-40-4,0,0,0,9.37E-14,0,5.03E-177,1,7.51E-160,0
1076-56-8,0,0,0,1,0,4.29E-76,3.27E-20,0,2.87E-40
1079-01-2,0,0,0,4.19E-29,0,7.49E-106,1,0,1.17E-106
108043-85-2,0,0,0,1.05E-09,0,3.23E-75,0.999999999,1.54242008129227e-317,1.38338380835549e-322
108-21-4,0,0,0,0,1,1.02E-107,0,0,0
108549-47-9,0,0,0,1,4.36E-31,1.49E-208,8.26E-17,3.22E-23,1.41E-257
108549-48-0,0,0,0,0.996191327,1.33E-17,1.73E-242,0.003808673,1.44E-32,3.35E-161
108-88-3,0,0,0,1,0,8.34E-53,6.00E-81,0,5.03E-13
108-94-1,0,0,0,1,1.55E-34,1.39E-158,1.35E-42,0,1.09E-118
109-29-5,1,2.60E-72,2.71E-16,3.67E-24,0,7.64E-136,3.60E-105,0,6.38301214841552e-310
110-27-0,0,0,0,1,3.00E-207,7.04E-46,0,0,3.28E-80
11028-42-5,0,0,0,2.91E-08,0,4.38E-103,0.999999971,0,6.57E-114
11029-06-4,0,0,0,0,0,7.08E-81,0,0,1
110-41-8,0,0,0,1.91E-29,3.35E-103,5.87E-15,1,0,4.47E-99
11063-78-8,0,0,0,3.79E-64,0,1.80E-39,1,0,1.50E-263
110-93-0,0,0,0,9.05E-44,3.76E-118,1.34E-85,1,1.97626258336499e-323,3.66E-184
111-02-4,0,0,0,8.15E-23,1,4.46E-239,2.28E-14,3.34E-54,1.41E-27
111-27-3,0,0,0,0.000170217,0,1.02E-45,0.999829783,0,4.72E-245
1113-21-9,0,0,0,0,0,1.89E-119,1,0,2.03E-35
111-70-6,0,0,0,2.23E-30,5.91E-289,7.06E-235,1,0,5.86E-115
111-71-7,0,0,0,1,0,5.72E-149,9.66E-37,0,0
111-84-2,0,0,0,2.33E-131,0,3.43E-95,1,0,7.29E-186
111-87-5,0,0,0,1,2.58E-168,2.33E-134,7.63E-54,0,4.15E-110
1120-21-4,0,0,0,7.47E-41,1,3.64E-126,4.34E-18,0,7.71E-128
1120-36-1,0.7237903,3.37E-86,0.254255446,0,0,4.48E-27,0,0,0.021954255
112-05-0,0,0,0,6.15E-40,0,1,0,0,2.92E-109
112-12-9,0,0,0,1,0,1.05E-212,6.90E-265,0,3.27E-118
112-14-1,0,0,0,1,2.21E-150,1.21E-184,3.19E-45,0,0
112-19-6,3.41E-281,0,0,1,6.91E-18,1.45E-79,0,0,0
112-30-1,0,0,0,1.54E-22,0,1.69E-159,1,0,0
112-31-2,0,0,0,1,5.01E-253,5.79E-50,0,0,6.78E-55
