species,VOC
Cycas_revoluta,other
Sundacarpus_amarus,Caryophyllene
Prumnopitys_ladei,aPinene
Phyllocladus_trichomanoides,other
Phyllocladus_aspleniifolius,aPinene
Falcatifolium_taxoides,aTerpineol
Dacrydium_lycopodioides,aPinene
Dacrydium_guillauminii,aPinene
Dacrydium_araucarioides,Caryophyllene
Dacrydium_balansae,Caryophyllene
Dacrydium_elatum,Caryophyllene
Retrophyllum_rospigliosii,aPinene
Nageia_wallichiana,aPinene
Nageia_motleyi,Caryophyllene
Afrocarpus_mannii,Caryophyllene
Podocarpus_spinulosus,Caryophyllene
Podocarpus_drouynianus,aPinene
Podocarpus_elatus,aPinene
Podocarpus_grayae,Caryophyllene
Podocarpus_pilgeri,aPinene
Podocarpus_neriifolius,Caryophyllene
Podocarpus_macrophyllus,Caryophyllene
Podocarpus_brevifolius,Caryophyllene
Podocarpus_dispermus,Caryophyllene
Podocarpus_smithii,Caryophyllene
Podocarpus_parlatorei,aTerpineol
Podocarpus_lambertii,Caryophyllene
Podocarpus_elongatus,Caryophyllene
Podocarpus_lawrencei,aPinene
Podocarpus_totara,aPinene
Acmopyle_pancheri,aTerpineol
Microstrobos_niphophilus,aPinene
Pherosphaera_fitzgeraldii,aPinene
Microcachrys_tetragona,aPinene
Agathis_microstachya,aPinene
Agathis_atropurpurea,aPinene
Agathis_philippinensis,aPinene
Agathis_robusta,aPinene
Agathis_dammara,Caryophyllene
Agathis_moorei,Caryophyllene
Agathis_ovata,Caryophyllene
Agathis_borneensis,aTerpineol
Agathis_macrophylla,aPinene
Agathis_australis,aPinene
Wollemia_nobilis,aPinene
Araucaria_angustifolia,aPinene
Araucaria_hunsteinii,aPinene
Araucaria_bidwillii,aPinene
Araucaria_columnaris,Caryophyllene
Araucaria_luxurians,Caryophyllene
Araucaria_montana,aPinene
Araucaria_scopulorum,Caryophyllene
Araucaria_muelleri,Caryophyllene
Araucaria_cunninghamii,Caryophyllene
Araucaria_heterophylla,aPinene
Cunninghamia_lanceolata,aTerpineol
Taiwania_cryptomerioides,aTerpineol
Taiwania_flousiana,aTerpineol
Cryptomeria_japonica,Caryophyllene
Glyptostrobus_pensilis,other
Taxodium_distichum,aPinene
Austrocedrus_chilensis,aPinene
Diselma_archeri,aPinene
Fitzroya_cupressoides,aPinene
Widdringtonia_cedarbergensis,aPinene
Callitris_neocaledonica,Caryophyllene
Callitris_sulcata,Caryophyllene
Neocallitropsis_pancheri,aTerpineol
Callitris_macleayana,aPinene
Callitris_muelleri,aPinene
Callitris_endlicheri,aPinene
Callitris_preissii,aPinene
Callitris_verrucosa,aPinene
Callitris_tuberculata,aPinene
Callitris_gracilis,aPinene
Callitris_glaucophylla,aPinene
Callitris_intratropica,aPinene
Callitris_rhomboidea,aPinene
Callitris_oblonga,aPinene
Callitris_canescens,aPinene
Callitris_monticola,aTerpineol
Callitris_roei,Caryophyllene
Callitris_columellaris,aPinene
Callitris_baileyi,aPinene
Callitris_drummondii,aPinene
