species,aPinene,aTerpineol,Caryophyllene,bPinene
Cycas_revoluta,0,0,0,0
Sundacarpus_amarus,0,0,1,0
Prumnopitys_ladei,0.531690141,0.007042254,0.454225352,0.007042254
Phyllocladus_trichomanoides,0,0,0,0
Phyllocladus_aspleniifolius,0.917525773,0,0.059793814,0.022680412
Falcatifolium_taxoides,0.125,0.6875,0.1875,0
Dacrydium_lycopodioides,1,0,0,0
Dacrydium_guillauminii,0.91954023,0.040229885,0,0.040229885
Dacrydium_araucarioides,0.028985507,0.026086957,0.942028986,0.002898551
Dacrydium_balansae,0,0,1,0
Dacrydium_elatum,0.477960969,0.003869448,0.488391655,0.029777927
Retrophyllum_rospigliosii,0.661818182,0.007272727,0.232727273,0.098181818
Nageia_wallichiana,0.896984925,0.002345059,0.056616415,0.044053601
Nageia_motleyi,0,0,1,0
Afrocarpus_mannii,0.266331658,0.015075377,0.658291457,0.060301508
Podocarpus_spinulosus,0.4,0.018181818,0.554545455,0.027272727
Podocarpus_drouynianus,0.882352941,0.019607843,0.088235294,0.009803922
Podocarpus_elatus,0.592592593,0,0.403292181,0.004115226
Podocarpus_grayae,0.222222222,0,0.777777778,0
Podocarpus_pilgeri,0.565159574,0.00731383,0.404255319,0.023271277
Podocarpus_neriifolius,0,0,1,0
Podocarpus_macrophyllus,0.029138787,0,0.902439024,0.068422189
Podocarpus_brevifolius,0.072463768,0.086956522,0.84057971,0
Podocarpus_dispermus,0.4,0,0.6,0
Podocarpus_smithii,0.019607843,0,0.980392157,0
Podocarpus_parlatorei,0,1,0,0
Podocarpus_lambertii,0.125674634,0,0.874325366,0
Podocarpus_elongatus,0,0,1,0
Podocarpus_lawrencei,0.725947522,0,0.268221574,0.005830904
Podocarpus_totara,0.75,0.088709677,0.161290323,0
Acmopyle_pancheri,0,0.529411765,0.470588235,0
Microstrobos_niphophilus,0.953900709,0.014184397,0,0.031914894
Pherosphaera_fitzgeraldii,0.97008547,0.008547009,0,0.021367521
Microcachrys_tetragona,0.995535714,0,0.002232143,0.002232143
Agathis_microstachya,0.947089947,0,0.031746032,0.021164021
Agathis_atropurpurea,0.963414634,0,0.012195122,0.024390244
Agathis_philippinensis,0.574585635,0.342541436,0,0.082872928
Agathis_robusta,0.587301587,0,0.222222222,0.19047619
Agathis_dammara,0,0,1,0
Agathis_moorei,0,0,1,0
Agathis_ovata,0,0,1,0
Agathis_borneensis,0.331254871,0.330475448,0,0.33826968
Agathis_macrophylla,0.571428571,0,0.428571429,0
Agathis_australis,0.681818182,0,0.318181818,0
Wollemia_nobilis,0.967032967,0,0.021978022,0.010989011
Araucaria_angustifolia,0.5625,0,0.125,0.3125
Araucaria_hunsteinii,0.805309735,0,0.084070796,0.110619469
Araucaria_bidwillii,0.833333333,0,0.166666667,0
Araucaria_columnaris,0,0,1,0
Araucaria_luxurians,0.0625,0,0.6875,0.25
Araucaria_montana,0.457142857,0.028571429,0.442857143,0.071428571
Araucaria_scopulorum,0,0,0.568181818,0.431818182
Araucaria_muelleri,0,0,1,0
Araucaria_cunninghamii,0.206896552,0,0.632183908,0.16091954
Araucaria_heterophylla,0.9390681,0,0.055555556,0.005376344
Cunninghamia_lanceolata,0.124343257,0.875656743,0,0
Taiwania_cryptomerioides,0,0.620689655,0.379310345,0
